"experiment_group","customer_id","customer_name","signup_date","device","total_transaction","total_session"
B,1,Jennifer Salinas,"2020-09-04",mobile,37.9,2
A,4,Mario Butler,"2022-06-30",mobile,242.06,4
A,8,Rachael Morales,"2022-10-09",mobile,207.4,4
B,9,Laura Guzman,"2024-07-29",mobile,122.51,3
A,10,Alexander Lopez,"2023-01-13",mobile,176.97,3
A,14,Matthew Thompson,"2021-01-13",mobile,380.89,4
B,15,Paul Neal,"2020-06-14",mobile,18.97,2
B,17,David Young,"2025-05-15",mobile,497.1,4
A,20,Stephen Mccormick,"2022-06-02",mobile,266.89,5
A,32,Christopher Mcmillan,"2020-11-27",mobile,75.05,4
B,35,Stephen Hall,"2025-08-17",mobile,43.17,4
B,37,Joel Norris,"2020-06-26",mobile,239.33,7
A,40,Monica Garcia,"2023-01-09",mobile,212.18,4
A,46,David Haynes,"2024-01-05",mobile,45.87,3
A,48,Mary Salas,"2020-04-01",mobile,441.99,6
B,49,Joshua Martin,"2023-11-30",mobile,132.2,3
B,51,Patrick Bryant,"2023-08-16",mobile,267.34,3
A,52,Lisa Walsh,"2022-04-06",mobile,16.53,3
B,55,Carl Frank,"2023-03-14",mobile,325.53,4
B,57,Penny Harrison,"2021-10-21",mobile,97.38,2
A,60,Justin Nguyen,"2025-08-21",mobile,30.27,2
B,61,Adam Lynn,"2024-01-15",mobile,273.29,5
B,69,Angel Doyle,"2023-10-28",mobile,367.86,3
B,73,Haley Harris,"2021-12-25",mobile,144.82,3
B,75,Jennifer Andrews,"2021-11-03",mobile,589.54,4
A,76,Thomas Franklin,"2023-11-19",mobile,77.18,3
A,78,Carrie Alvarado,"2020-03-12",mobile,273.37,4
B,79,Shane Taylor,"2020-01-01",mobile,709.76,3
B,81,Jennifer Dominguez,"2021-03-03",mobile,118.99,6
A,92,Lauren Bray,"2024-05-12",mobile,278.13,8
B,95,William Robles,"2025-01-13",mobile,43.95,5
B,97,Daniel Scott,"2024-06-15",mobile,245.76,5
B,99,Jonathan Harris,"2022-10-16",mobile,528.82,5
A,104,Dawn Johnson,"2021-12-23",mobile,36.52,3
A,106,Tammy Mccarthy,"2021-11-22",mobile,82.54,3
B,107,Thomas Hunter,"2020-04-20",mobile,397.49,5
B,109,Jose Stevenson,"2022-10-28",mobile,1290.44,6
B,113,Ross Miller,"2024-09-05",mobile,50.89,2
A,114,Janice Johnson,"2025-01-13",mobile,202.8,2
B,117,Ryan Cook,"2025-01-03",mobile,901.0,7
A,118,Ashley Irwin,"2024-07-19",mobile,212.66,5
B,121,Alexis Roman,"2022-01-04",mobile,119.2,3
B,123,Christopher Townsend,"2020-08-15",mobile,113.45,5
B,127,Phillip Anderson,"2022-10-18",mobile,419.14,3
B,129,Howard Sanchez,"2021-04-23",mobile,359.8,5
B,143,David Williams,"2023-05-16",mobile,321.14,5
A,144,Tyler Mccall,"2025-03-07",mobile,160.97,4
A,146,Natalie Mitchell,"2022-01-31",mobile,38.57,2
B,147,Christina Page,"2024-04-23",mobile,137.76,8
B,149,Jennifer Glass,"2025-08-09",mobile,140.18,2
A,152,Ashley Perez,"2023-07-23",mobile,123.64,5
A,154,Mark Chen,"2020-09-29",mobile,105.67,4
