"customer_id","experiment_group","name","signup_date","age","country","total_order","total_transaction","aov"
1,B,Jennifer Salinas,"2020-09-04",71,JP,1,37.9,37.9
4,A,Mario Butler,"2022-06-30",63,FR,1,242.06,242.06
8,A,Rachael Morales,"2022-10-09",33,GB,1,207.4,207.4
9,B,Laura Guzman,"2024-07-29",32,US,1,122.51,122.51
10,A,Alexander Lopez,"2023-01-13",39,JP,2,176.97,88.49
14,A,Matthew Thompson,"2021-01-13",28,SG,3,380.89,126.96
15,B,Paul Neal,"2020-06-14",52,AU,1,18.97,18.97
17,B,David Young,"2025-05-15",31,US,2,497.1,248.55
20,A,Stephen Mccormick,"2022-06-02",33,AE,2,266.89,133.44
32,A,Christopher Mcmillan,"2020-11-27",69,MX,1,75.05,75.05
35,B,Stephen Hall,"2025-08-17",60,PL,1,43.17,43.17
37,B,Joel Norris,"2020-06-26",59,FR,2,239.33,119.67
40,A,Monica Garcia,"2023-01-09",64,DE,2,212.18,106.09
46,A,David Haynes,"2024-01-05",18,GB,1,45.87,45.87
48,A,Mary Salas,"2020-04-01",49,ES,2,441.99,221.0
49,B,Joshua Martin,"2023-11-30",49,SE,1,132.2,132.2
51,B,Patrick Bryant,"2023-08-16",25,FR,2,267.34,133.67
52,A,Lisa Walsh,"2022-04-06",48,DE,1,16.53,16.53
55,B,Carl Frank,"2023-03-14",45,US,1,325.53,325.53
57,B,Penny Harrison,"2021-10-21",48,US,1,97.38,97.38
60,A,Justin Nguyen,"2025-08-21",22,BR,1,30.27,30.27
61,B,Adam Lynn,"2024-01-15",29,ES,2,273.29,136.65
69,B,Angel Doyle,"2023-10-28",20,CA,1,367.86,367.86
73,B,Haley Harris,"2021-12-25",41,US,1,144.82,144.82
75,B,Jennifer Andrews,"2021-11-03",48,CA,1,589.54,589.54
76,A,Thomas Franklin,"2023-11-19",66,GB,1,77.18,77.18
78,A,Carrie Alvarado,"2020-03-12",67,SE,1,273.37,273.37
79,B,Shane Taylor,"2020-01-01",69,US,1,709.76,709.76
81,B,Jennifer Dominguez,"2021-03-03",53,GB,3,118.99,39.66
92,A,Lauren Bray,"2024-05-12",46,PL,3,278.13,92.71
95,B,William Robles,"2025-01-13",54,MX,1,43.95,43.95
97,B,Daniel Scott,"2024-06-15",70,GB,1,245.76,245.76
99,B,Jonathan Harris,"2022-10-16",18,BR,2,528.82,264.41
104,A,Dawn Johnson,"2021-12-23",63,DE,1,36.52,36.52
106,A,Tammy Mccarthy,"2021-11-22",74,AU,1,82.54,82.54
107,B,Thomas Hunter,"2020-04-20",74,NL,2,397.49,198.75
109,B,Jose Stevenson,"2022-10-28",40,PL,1,1290.44,1290.44
113,B,Ross Miller,"2024-09-05",58,AU,1,50.89,50.89
114,A,Janice Johnson,"2025-01-13",30,SG,1,202.8,202.8
117,B,Ryan Cook,"2025-01-03",75,US,3,901.0,300.33
118,A,Ashley Irwin,"2024-07-19",53,FR,2,212.66,106.33
121,B,Alexis Roman,"2022-01-04",25,US,1,119.2,119.2
123,B,Christopher Townsend,"2020-08-15",38,NL,1,113.45,113.45
127,B,Phillip Anderson,"2022-10-18",49,DE,2,419.14,209.57
129,B,Howard Sanchez,"2021-04-23",45,BR,2,359.8,179.9
143,B,David Williams,"2023-05-16",64,DE,1,321.14,321.14
144,A,Tyler Mccall,"2025-03-07",36,DE,2,160.97,80.49
146,A,Natalie Mitchell,"2022-01-31",30,ES,1,38.57,38.57
147,B,Christina Page,"2024-04-23",73,IN,1,137.76,137.76
149,B,Jennifer Glass,"2025-08-09",42,US,1,140.18,140.18
152,A,Ashley Perez,"2023-07-23",41,ZA,1,123.64,123.64
154,A,Mark Chen,"2020-09-29",35,AU,2,105.67,52.83
160,A,Tina Johnson,"2024-07-04",22,US,1,31.36,31.36
161,B,Kimberly Murillo,"2024-07-10",44,AU,1,73.81,73.81
162,A,Heather Gould,"2021-06-23",69,FR,1,40.42,40.42
163,B,Mariah Hebert,"2022-11-16",75,DE,1,40.34,40.34
167,B,Christine Barry,"2021-02-06",49,AE,1,237.34,237.34
169,B,Michael Smith,"2024-05-12",62,ES,1,173.78,173.78
171,B,Jennifer Martinez,"2022-11-27",60,IN,1,10.21,10.21
172,A,Christopher Mills,"2020-01-01",54,MX,1,183.91,183.91
173,B,Melinda Riley,"2022-03-01",75,AU,3,329.06,109.69
175,B,Daniel Foster,"2022-04-06",37,JP,1,159.72,159.72
181,B,Jennifer Durham,"2024-04-16",42,IN,2,438.82,219.41
186,A,Jessica Branch,"2024-08-28",39,SG,2,201.48,100.74
188,A,Brianna Smith,"2022-11-23",22,DE,2,303.1,151.55
190,A,Anita Roberts,"2021-12-06",57,DE,1,109.31,109.31
192,A,Mary Bell,"2022-08-24",42,BR,1,106.4,106.4
193,B,Zachary Morales,"2025-05-18",54,MX,2,180.55,90.28
196,A,Dawn Graham,"2024-05-30",46,US,1,373.48,373.48
197,B,Lauren Dominguez,"2025-08-29",31,CA,1,79.23,79.23
202,A,Kristin Thompson,"2024-05-19",40,BR,1,445.93,445.93
203,B,Victor Jackson,"2025-02-18",32,BR,1,47.62,47.62
206,A,Mark Wilson,"2024-05-20",29,AE,1,249.84,249.84
207,B,Linda Murray,"2024-04-03",73,US,1,256.62,256.62
210,A,Benjamin Smith,"2020-12-16",41,MX,1,428.76,428.76
214,A,Stephanie Fleming,"2023-08-09",62,US,2,77.1,38.55
215,B,Jamie Holland,"2022-05-07",31,GB,1,147.06,147.06
216,A,Sara King,"2023-12-25",67,US,2,461.91,230.96
218,A,Whitney Morrison,"2022-01-06",32,NL,2,307.51,153.76
222,A,Carly Phillips,"2023-08-11",21,JP,1,74.02,74.02
225,B,Matthew Cunningham,"2021-06-17",52,AU,1,75.36,75.36
227,B,Bradley Guerrero,"2023-06-28",45,DE,1,82.47,82.47
228,A,Jeremy Green,"2021-05-18",46,AU,1,155.39,155.39
229,B,Connie Hood,"2021-08-23",25,PL,1,116.54,116.54
231,B,Jason Jones,"2025-01-13",35,ES,1,54.03,54.03
246,A,Emily Rogers,"2020-03-24",69,AU,1,228.32,228.32
251,B,Katrina Reid,"2022-03-20",69,US,1,213.07,213.07
254,A,Tanya Willis,"2021-05-12",42,JP,2,92.08,46.04
259,B,Curtis Morrison,"2020-10-05",27,ZA,1,147.49,147.49
263,B,Felicia Snyder,"2020-06-22",20,US,2,20.44,10.22
264,A,Evan Valdez,"2025-05-11",47,US,1,188.24,188.24
266,A,Leah Peters,"2021-09-07",72,DE,3,347.3,115.77
270,A,Jonathan Peters,"2025-04-29",21,AE,1,214.03,214.03
276,A,Peter Day,"2023-04-05",59,US,1,20.98,20.98
280,A,Sharon White,"2025-03-26",75,US,1,44.18,44.18
283,B,Michelle Macias,"2022-09-15",53,AU,1,51.34,51.34
289,B,Richard Crane,"2020-01-14",67,US,1,488.48,488.48
293,B,Ryan Bowers,"2020-04-20",64,ES,1,75.91,75.91
302,A,Jodi Miller,"2022-02-12",50,GB,1,435.02,435.02
307,B,Ricky Williamson,"2021-01-08",71,AU,1,78.99,78.99
308,A,Paul Booker,"2022-11-10",32,US,1,100.04,100.04
309,B,James Lane,"2021-11-26",21,GB,1,12.97,12.97
310,A,Max Rivera,"2025-03-19",67,GB,1,119.42,119.42
315,B,Billy Roth,"2022-03-15",61,US,1,38.57,38.57
320,A,Eric Delacruz,"2023-03-25",26,JP,3,121.08,40.36
322,A,Robert Gonzalez,"2021-07-07",19,DE,2,160.3,80.15
323,B,Karl Morris,"2023-11-24",36,US,1,62.24,62.24
326,A,Kathleen Smith,"2025-08-27",41,IN,1,168.69,168.69
327,B,Rebecca Ferguson,"2021-08-14",63,GB,4,781.26,195.32
335,B,John Smith,"2025-01-05",29,NL,2,203.33,101.67
339,B,Brian Collier,"2023-06-12",19,SG,1,162.55,162.55
343,B,Shelley Castillo,"2025-04-20",42,NL,2,457.37,228.69
345,B,Katie Richardson,"2023-02-23",27,GB,1,154.05,154.05
352,A,Jorge Jackson,"2025-01-03",39,FR,1,234.88,234.88
354,A,Erin Jones,"2020-06-01",50,ES,3,287.94,95.98
358,A,Audrey Schmitt,"2020-08-18",46,NL,1,231.1,231.1
359,B,Kristina Rich,"2021-04-25",45,US,3,260.2,86.73
369,B,Kayla Bennett,"2022-06-12",39,SG,2,458.73,229.36
372,A,James Collins,"2020-09-20",52,US,2,143.78,71.89
373,B,Karen Smith,"2022-03-28",24,JP,1,104.84,104.84
375,B,Joshua Russell,"2024-03-19",46,SE,1,101.07,101.07
376,A,William Ward DVM,"2025-01-04",48,BR,1,199.68,199.68
381,B,Timothy Dean,"2024-12-16",35,JP,1,11.16,11.16
382,A,Douglas Nichols,"2023-02-13",70,FR,2,853.33,426.66
387,B,Jennifer Porter,"2020-01-12",73,US,2,223.79,111.9
389,B,Aaron Berry,"2024-10-02",55,MX,1,25.48,25.48
392,A,Michele Salazar,"2022-11-14",40,US,2,258.56,129.28
393,B,Daniel Walker,"2024-12-31",57,SG,1,94.39,94.39
394,A,Michael Jones,"2024-04-11",19,US,1,158.16,158.16
395,B,Anthony Griffin,"2025-08-25",20,PL,3,154.11,51.37
398,A,James Blevins,"2024-05-06",52,SE,1,27.79,27.79
400,A,Darlene May,"2024-02-08",61,DE,1,80.65,80.65
401,B,Cheryl Gilbert,"2023-11-05",63,MX,1,13.82,13.82
405,B,Henry Garcia,"2022-04-27",39,SE,1,75.36,75.36
406,A,Jordan Garcia,"2020-04-10",56,FR,1,234.11,234.11
408,A,Christine King,"2021-12-13",48,DE,1,107.6,107.6
414,A,Shannon Jackson,"2022-02-01",72,DE,1,407.17,407.17
415,B,Bailey Jimenez,"2020-06-16",30,FR,2,301.43,150.72
425,B,Donald Parker,"2025-06-25",23,MX,1,63.52,63.52
426,A,Adriana Jones,"2021-01-15",46,GB,1,216.54,216.54
433,B,Rebecca Patel,"2023-12-06",57,CA,2,187.48,93.74
436,A,Lynn Holland,"2023-09-30",74,JP,1,138.66,138.66
439,B,Christine Green,"2023-09-06",47,FR,2,56.32,28.16
442,A,James Horton,"2024-08-08",74,CA,1,43.85,43.85
449,B,James Hubbard,"2025-08-20",52,CA,1,11.92,11.92
453,B,Antonio Lee,"2022-09-23",61,IN,1,137.37,137.37
455,B,Tony Warren,"2020-07-28",62,AU,2,257.52,128.76
457,B,Lynn Garcia,"2021-06-17",73,IN,2,44.56,22.28
458,A,Karen Scott,"2024-09-06",63,NL,2,78.95,39.48
459,B,Melissa Johnson,"2025-03-30",35,US,2,108.68,54.34
466,A,Laura Carrillo,"2021-04-03",72,GB,2,97.3,48.65
469,B,Amy Young,"2024-07-13",29,GB,2,448.52,224.26
470,A,Kelly Walker,"2025-05-24",19,DE,1,150.37,150.37
472,A,Walter Harrell,"2021-01-10",62,US,3,523.71,174.57
479,B,Crystal Moss,"2023-11-17",32,BR,1,109.67,109.67
481,B,Jesse Rivera,"2020-05-21",31,CA,3,368.36,122.79
482,A,Melissa Rhodes,"2023-02-17",40,ES,1,12.64,12.64
484,A,Samuel Wong,"2023-01-13",28,FR,2,306.15,153.08
485,B,Leah Gonzalez,"2025-08-06",28,JP,2,107.98,53.99
489,B,Timothy Baker,"2022-03-30",58,GB,4,173.73,43.43
495,B,Kathryn Boyd,"2025-10-07",47,FR,5,345.51,69.1
496,A,Jose Lewis,"2025-09-23",45,IN,1,83.24,83.24
497,B,Dr. Stephanie Anderson,"2020-11-08",29,US,1,161.66,161.66
499,B,Emily Carter,"2023-04-20",24,GB,3,519.8,173.27
500,A,Julia Gonzalez,"2024-11-29",28,BR,3,364.54,121.51
502,A,Austin Lara,"2020-11-03",73,US,1,159.49,159.49
505,B,Barry Christensen,"2022-08-09",56,AU,3,603.35,201.12
507,B,Melody Stewart,"2024-01-31",59,BR,1,375.01,375.01
510,A,Olivia Long,"2020-06-05",31,CA,3,728.95,242.98
511,B,Katherine Dillon,"2022-02-24",34,BR,1,73.44,73.44
513,B,Roberto Roy,"2022-01-23",64,BR,1,48.62,48.62
514,A,Tiffany Murphy,"2021-11-25",25,MX,1,69.49,69.49
519,B,Sherry Taylor,"2024-05-10",61,AE,1,55.18,55.18
521,B,Gabriel Johnson,"2023-06-16",70,MX,1,59.77,59.77
523,B,Stephanie Ruiz,"2024-11-20",53,MX,1,108.95,108.95
531,B,Thomas Arnold,"2021-02-02",23,US,3,255.12,85.04
536,A,Christopher Brennan,"2023-07-13",25,MX,1,301.86,301.86
537,B,Russell Coleman,"2022-07-21",46,ES,1,25.51,25.51
541,B,Jonathan White,"2020-12-06",59,PL,1,47.24,47.24
543,B,Tracy Powell,"2022-05-08",56,DE,2,122.24,61.12
545,B,Mark Mora,"2022-01-09",19,US,1,29.64,29.64
548,A,Marilyn Mitchell,"2020-07-14",69,US,1,15.86,15.86
549,B,Renee Alexander,"2022-07-25",70,NL,1,77.31,77.31
551,B,Krystal Vincent,"2020-02-19",50,US,1,471.96,471.96
552,A,Lori Smith,"2020-09-10",53,BR,3,329.31,109.77
554,A,Bryan Maddox,"2023-07-19",55,FR,1,508.23,508.23
555,B,Brittany Monroe,"2020-05-25",24,SE,2,191.36,95.68
569,B,Philip Berry,"2020-09-04",63,GB,2,119.02,59.51
570,A,Brandi Bennett,"2022-03-16",30,IN,1,17.78,17.78
571,B,Angela Cole,"2021-06-24",24,IN,2,76.04,38.02
576,A,John Miller,"2022-06-06",54,FR,1,93.06,93.06
578,A,Sara Green,"2022-11-15",47,SG,1,305.54,305.54
579,B,Courtney Green,"2020-09-10",65,GB,1,24.47,24.47
584,A,Leah Martin,"2020-10-02",54,US,1,75.93,75.93
585,B,Mr. Gary Lane Jr.,"2024-01-26",24,DE,2,37.79,18.89
589,B,Tammy Gay,"2021-11-14",18,DE,1,23.83,23.83
590,A,Emily Carroll,"2025-05-15",18,DE,3,367.35,122.45
591,B,Samantha Smith,"2021-12-10",33,FR,2,159.8,79.9
593,B,Kyle Wolfe,"2024-04-15",46,US,1,206.67,206.67
595,B,Martha Martin,"2021-01-22",55,ZA,4,327.05,81.76
608,A,Erin Johnson,"2025-10-05",26,MX,1,62.1,62.1
609,B,Benjamin Daniels,"2021-10-11",39,ES,2,516.71,258.35
610,A,Dawn Garcia,"2022-11-01",46,SG,1,13.46,13.46
612,A,Allison Lopez,"2020-06-28",22,US,2,280.16,140.08
614,A,Candice Kim,"2024-04-15",44,JP,1,184.12,184.12
